Material,Magnetic Entropy Change,Magnetic Field,Curie Temperature,source,Number,Article Title,Source Title,DOI,mpid
DyCoAl,18,9 T,37,table_only_1stcheck253.txt,56,Magnetic structure and magnetic entropy change in the intermetallic compound DyCoAl,JOURNAL OF APPLIED PHYSICS,10.1063/1.3335815,mp-1225470
NdFe2Si2,6.4,5 T,,table_only1261.txt,470,Investigation of the magnetic and magnetocaloric properties in metamagnetic REFe2Si2 (RE = Pr and Nd) compounds,JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2018.09.056,mp-3489
PrFe2Si2,12.4,5 T,,table_only1261.txt,508,Investigation of the magnetic and magnetocaloric properties in metamagnetic REFe2Si2 (RE = Pr and Nd) compounds,JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2018.09.056,mp-5627
DyVO4,25.5,5 T,,table_only_1stcheck263.txt,74,Study on magnetic properties and magnetocaloric effect of DyVO4,JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2022.169941,mp-18784
Y2NiMnO6,6.57,80 kOe,85,table_only_1stcheck264.txt,398,Magnetic entropy change and critical exponents in double perovskite Y2NiMnO6,JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2014.05.035,mp-19192
TbNiAl4,5.0 and 7.9,2 and 6 (H//a) T,,table_only1264.txt,576,Magnetic properties and large inverse magnetocaloric effect in single crystal antiferromagnetic TbNiAl4,SOLID STATE COMMUNICATIONS,10.1016/j.ssc.2009.03.032,mp-4353
PrSi,8.6,0-2 T,52,table_only_1stcheck265.txt,329,Magnetic properties and magnetocaloric effects of PrSi,RARE METALS,10.1007/s12598-014-0310-7,mp-9968
PrSi,15.3,0-5 T,52,table_only_1stcheck265.txt,330,Magnetic properties and magnetocaloric effects of PrSi,RARE METALS,10.1007/s12598-014-0310-7,mp-9968
TmMn2Si2,22.7,5 T,5.5,table_only1269.txt,600,Magnetic properties and large reversible magnetocaloric effect in TmMn2Si2,JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2013.08.117,mp-1207007
YTiO3,1.91,5 T,26.5,table_only1270.txt,609,The magnetic cooling of YTiO3 compound for magnetic refrigeration,SOLID STATE COMMUNICATIONS,10.1016/j.ssc.2021.114617,mp-4355
HoPd,20,0-5 T,,table_only_1stcheck278.txt,242,Magnetic properties and magnetocaloric effects in HoPd intermetallic,CHINESE PHYSICS B,10.1088/1674-1056/24/3/037503,mp-832
DyCuSi,24,nan T,,table_only_1stcheck280.txt,60,Giant magnetic entropy change in antiferromagnetic DyCuSi compound,SOLID STATE COMMUNICATIONS,10.1016/j.ssc.2010.05.017,mp-5365
DySe2,11.7,>10 kOe,,table_only1281.txt,113,Investigation on Magnetic and Magnetocaloric Properties of DySe2,JOURNAL OF SUPERCONDUCTIVITY AND NOVEL MAGNETISM,10.1007/s10948-021-05936-5,mp-1018683
CoCr2O4,0.88,7 T,96,table_only1286.txt,34,Room-temperature magnetocaloric effect in Fe-substituted CoCr2O4 spinels,APPLIED PHYSICS A-MATERIALS SCIENCE & PROCESSING,10.1007/s00339-021-04374-3,mp-20758
ErMn2,2.5,5 T,15,table_only1287.txt,153,Synthesis and magnetocaloric characterization of rapidly solidified ErMn2 melt-spun ribbons,INTERMETALLICS,10.1016/j.intermet.2017.05.001,mp-11855
HoZn,15.2,7 T,,table_only_1stcheck293.txt,243,Magnetic phase transitions and large magnetic entropy change with a wide temperature span in HoZn,JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2015.04.146,mp-2249
SrRuO3,1.65,50 kOe,,table_only1293.txt,533,Magnetic and Magnetocaloric Properties of SrRu11xFexO3,MATERIALS TRANSACTIONS,10.2320/matertrans.MT-M2022093,mp-22390
TbNiAl,13.8,50 kOe,,table_only1301.txt,575,Magnetic and magnetocaloric properties of the intermetallic compound TbNiA1,JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2005.09.023,mp-11538
SmNiC2,14.1,nan T,17.5,table_only_1stcheck302.txt,344,Magnetic properties and magnetocaloric effect in SmNiC2 compound,SOLID STATE COMMUNICATIONS,10.1016/j.ssc.2013.11.012,mp-999144
EuTiO3,40.4,5 T,,table_only1302.txt,182,Observation of giant magnetocaloric effect in EuTiO3,MATERIALS LETTERS,10.1016/j.matlet.2015.06.040,mp-22246
EuTiO3,22.3,2 T,,table_only1302.txt,183,Observation of giant magnetocaloric effect in EuTiO3,MATERIALS LETTERS,10.1016/j.matlet.2015.06.040,mp-22246
EuTiO3,11,1 T,,table_only1302.txt,184,Observation of giant magnetocaloric effect in EuTiO3,MATERIALS LETTERS,10.1016/j.matlet.2015.06.040,mp-22246
VI3,0.95,4.5 T,,table_only_1stcheck304.txt,397,Anisotropic magnetic entropy change in the hard ferromagnetic semiconductor VI3,PHYSICAL REVIEW B,10.1103/PhysRevB.100.094402,mp-865493
GdFeO3,50.2,70 kOe,,table_only_1stcheck305.txt,183,Giant magnetic entropy change in gadolinium orthoferrite near liquid hydrogen temperature,JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2017.12.358,mp-600576
Dy2CuAl3,6.68,0-5 T,,table_only_1stcheck307.txt,31,Magnetic properties and magnetic entropy change in rare earth-rich aluminium compounds of RE2CuAl3 (RE = Dy and Tm),INTERMETALLICS,10.1016/j.intermet.2018.03.006,mp-1225288
GdCo2B2C,10.34,0-5 T,17.2,table_only1307.txt,280,"Magnetic properties and magneto-caloric performances in RECo2B2C (RE = Gd, Tb and Dy) compounds",JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2019.152780,mp-1077521
TbCo2B2C,18.09,0-5 T,5.3,table_only1307.txt,562,"Magnetic properties and magneto-caloric performances in RECo2B2C (RE = Gd, Tb and Dy) compounds",JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2019.152780,mp-1024963
Er3AlC,"13,9 or 30.5",2or 5 T,4.1,table_only1325.txt,127,"Structure, magnetic and magnetocaloric properties of polycrystalline Er3AlC compound",JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2022.170194,mp-10038
Ho4CoCd,18.1,nan kOe,22,table_only_1stcheck330.txt,223,Magnetic properties and large magnetic entropy change in rare earth-rich cadmium compounds of RE4CoCd (RE = Tm and Ho),INTERMETALLICS,10.1016/j.intermet.2017.10.016,mp-570404
ErCrO4,20.5,5 T,14.9,table_only1353.txt,148,Ericsson-like giant magnetocaloric effect in GdCrO4-ErCrO4 composite oxides near liquid hydrogen temperature,MATERIALS LETTERS,10.1016/j.matlet.2015.09.070,mp-19240
GdCrO4,22.8,5 T,22,table_only1353.txt,287,Ericsson-like giant magnetocaloric effect in GdCrO4-ErCrO4 composite oxides near liquid hydrogen temperature,MATERIALS LETTERS,10.1016/j.matlet.2015.09.070,mp-22244
Er2Ni2Ga,12.93,0-70 kOe,,table_only1354.txt,123,Magnetic Phase Transition and Magnetocaloric Effect in Ternary Er2Ni2Ga Compound,IEEE TRANSACTIONS ON MAGNETICS,10.1109/TMAG.2018.2878550,mp-1207042
Gd2O3,29,5 T,,table_only_1stcheck355.txt,151,Existence of cryogenic magnetic entropy change in Gd based nanoparticles,LOW TEMPERATURE PHYSICS,10.1063/1.4985974,mp-20470
ErCoC,18.7,0-5 T,,table_only1357.txt,144,Study of the magnetic and magnetocaloric properties in RECoC (RE = Tb and Er) compounds,INTERMETALLICS,10.1016/j.intermet.2018.03.010,mp-8475
TbCoC,16.5,0-5 T,22,table_only1357.txt,563,Study of the magnetic and magnetocaloric properties in RECoC (RE = Tb and Er) compounds,INTERMETALLICS,10.1016/j.intermet.2018.03.010,mp-22158
GdCuO3,0.219-1,1-5 T,800,table_only1358.txt,293,Magnetocaloric Properties of the Perovskite GdCuO3: Monte Carlo Simulation,JOURNAL OF SUPERCONDUCTIVITY AND NOVEL MAGNETISM,10.1007/s10948-022-06379-2,mp-1184481
TbAl2,14.3,5 T,105,table_only_1stcheck364.txt,368,Large magnetic entropy change in TbAl2 and (Tb0.4Gd0.6)Al-2,APPLIED PHYSICS LETTERS,10.1063/1.1290389,mp-756
Mn5Ge3,6,30 kOe,,table_only1365.txt,443,"Structure, magnetic anisotropy and magnetocaloric effect of Mn5Ge3-xSix single crystals",JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2022.169539,mp-617291
LaMnO3,4.02-6.36,50 kOe,77-262,table_only1371.txt,427,Tunable magnetic properties and magnetocaloric effect of off-stoichiometric LaMnO3 nanoparticles,JOURNAL OF PHYSICS AND CHEMISTRY OF SOLIDS,10.1016/j.jpcs.2017.07.022,mp-17554
TbMn2Si2,16,0-5 T,Tc1 = 50; Tc2 = 64,table_only_1stcheck381.txt,378,Large entropy change accompanying two successive magnetic phase transitions in TbMn2Si2 for magnetic refrigeration,APPLIED PHYSICS LETTERS,10.1063/1.4919895,mp-5677
Tb5Si2Sb2,4.4,5 T,181,table_only1381.txt,553,Magnetic and magnetocaloric properties of Tb5Si2Sb2,SOLID STATE COMMUNICATIONS,10.1016/j.ssc.2008.02.011,mp-1208415
SnCMn3,80.69,20 kOe,279,table_only_1stcheck393.txt,345,Large magnetic entropy change near room temperature in antiperovskite SnCMn3,EPL,10.1209/0295-5075/85/47004,mp-20860
SnCMn3,133,48 kOe,279,table_only_1stcheck393.txt,346,Large magnetic entropy change near room temperature in antiperovskite SnCMn3,EPL,10.1209/0295-5075/85/47004,mp-20860
DyScO3,17.04,0-20 kOe,,table_only1395.txt,107,Large rotating magnetocaloric effect at low magnetic fields in the Ising-like antiferromagnet DyScO3 single crystal,JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2018.11.047,mp-31120
DyScO3,21.18,0-50 kOe,,table_only1395.txt,108,Large rotating magnetocaloric effect at low magnetic fields in the Ising-like antiferromagnet DyScO3 single crystal,JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2018.11.047,mp-31120
LaMn2Ge2,1.42,,320,table_only_1stcheck398.txt,258,Magnetic phase transition and magneticocaloric effect of LaMn2Ge2 at near room temperature,RARE METAL MATERIALS AND ENGINEERING,,mp-22760
Nd2In,7.42,2 T,,table_only_1stcheck400.txt,286,Large magnetic entropy change in Nd2In near the boiling temperature of natural gas,APPLIED PHYSICS LETTERS,10.1063/5.0054959,mp-21295
GdCuAl,10.1,0-5 T,81,table_only_1stcheck410.txt,19,Magnetic properties and magnetocaloric effects in amorphous and crystalline GdCuAl ribbons,SOLID STATE COMMUNICATIONS,10.1016/j.ssc.2008.12.006,mp-1080612
MnCoGe,4.41,5 T,340,table_only_1stcheck411.txt,275,Magnetic Properties and Magnetocaloric Effect of MnCoAl Compound,INTERNATIONAL JOURNAL OF NANOELECTRONICS AND MATERIALS,,mp-20565
Ho3Al2,18.7,0-5 T,40,table_only_1stcheck416.txt,217,Giant magnetic refrigerant capacity in Ho3Al2 compound,SOLID STATE COMMUNICATIONS,10.1016/j.ssc.2012.04.004,mp-1106135
Cr2Ge2Te6,2.64,5 T,,table_only_1stcheck439.txt,15,Anisotropic magnetic entropy change in Cr2X2Te6 (X = Si and Ge),PHYSICAL REVIEW MATERIALS,10.1103/PhysRevMaterials.3.014001,mp-541449
Cr2Si2Te6,5.05,5 T,,table_only_1stcheck439.txt,16,Anisotropic magnetic entropy change in Cr2X2Te6 (X = Si and Ge),PHYSICAL REVIEW MATERIALS,10.1103/PhysRevMaterials.3.014001,mp-3779
SmNi4B,0.94,0-50 kOe,40,table_only1442.txt,526,Giant magnetic coercivity in YNi4B-type SmNi3TB (T=Mn-Cu) solid solutions,JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2016.06.034,mp-1102220
GdCo3B2,5,2 T,,table_only1443.txt,281,Magnetic properties and magnetocaloric effect in GdCo3B2 compound,JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2011.01.049,mp-21252
GdCo3B2,11.6,7 T,,table_only1443.txt,282,Magnetic properties and magnetocaloric effect in GdCo3B2 compound,JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2011.01.049,mp-21252
DyCoNi,15.5,7.0 T,68,table_only1444.txt,88,Magnetic And Magnetocaloric Properties Of Rare Earth Intermetallic Compound DyCoNi,"SOLID STATE PHYSICS, PTS 1 AND 2",10.1063/1.4710398,mp-1225312
GdRuSi,10.7,50 kOe,,table_only_1stcheck445.txt,193,Large Magnetic Entropy Change in GdRuSi Optimal for Magnetocaloric Liquefaction of Nitrogen,METALS,10.3390/met13020290,mp-19875
TbCuAl,14.4,,,table_only1461.txt,51,Spin-glass behavior and magnetocaloric effect in melt-spun TbCuAl alloys,SOLID STATE COMMUNICATIONS,10.1016/j.ssc.2010.11.013,mp-1079357
CrOCl,4.31,nan kOe,,table_only1464.txt,48,Metamagnetism and Magnetocaloric Properties in a van der Waals Antiferromagnet CrOCl,PHYSICA STATUS SOLIDI B-BASIC SOLID STATE PHYSICS,10.1002/pssb.202200422,mp-22946
Dy3Al2,12.1,50 kOe,69,table_only_1stcheck472.txt,44,Successive magnetic transitions and magnetocaloric effect in Dy3Al2 compound,JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2015.08.087,mp-571624
TbFeO3,17.42,50 kOe,,table_only_1stcheck475.txt,375,"Anisotropic magnetic entropy change in RFeO3 single crystals(R = Tb, Tm, or Y)",SCIENTIFIC REPORTS,10.1038/srep19775,mp-19853
TmFeO3,9.01,50 kOe,,table_only_1stcheck475.txt,391,"Anisotropic magnetic entropy change in RFeO3 single crystals(R = Tb, Tm, or Y)",SCIENTIFIC REPORTS,10.1038/srep19775,mp-20651
GdB2,1.89,4 T,,table_only_1stcheck480.txt,173,Magnetic and magnetocaloric properties of GdB2 compound,OPTOELECTRONICS AND ADVANCED MATERIALS-RAPID COMMUNICATIONS,,mp-425
Gd,17.5,140 kOe,,table_only_1stcheck484.txt,134,Magnetocaloric and Scaling Behavior of Gd at High Magnetic Fields up to 140 kOe,JOURNAL OF ELECTRONIC MATERIALS,10.1007/s11664-021-09049-6,mp-155
Gd3Ni6Al2,6.2,5 T,105.7,table_only_1stcheck487.txt,156,Magnetic entropy change and relative cooling power of Gd3Ni6Al2 and Tb3Ni6Al2 compounds,SOLID STATE COMMUNICATIONS,10.1016/j.ssc.2012.12.002,mp-580327
Tb3Ni6Al2,9.8,5 T,57.5,table_only_1stcheck487.txt,362,Magnetic entropy change and relative cooling power of Gd3Ni6Al2 and Tb3Ni6Al2 compounds,SOLID STATE COMMUNICATIONS,10.1016/j.ssc.2012.12.002,mp-1191827
ErMnO3,10.57,50 kOe,,table_only1488.txt,155,"The observed topological vortex domains and the rotating magnetocaloric effect in the hexagonal RMnO3 (R = Ho, Er, and Yb) crystals",JOURNAL OF PHYSICS-CONDENSED MATTER,10.1088/1361-648X/abb680,mp-19217
CuCr2Te4,1.57,5 T,320,table_only_1stcheck496.txt,21,Correlation between magnetoresistivity and magnetic entropy change in the 3D-Heisenberg ferromagnet CuCr2Te4,JOURNAL OF APPLIED PHYSICS,10.1063/1.4811680,mp-22625
EuTiO3,9.8,1T,,table_only_1stcheck502.txt,105,"Magnetic and magnetocaloric effects of Eu0.9M0.1TiO3 (M = Ca, Sr, Ba, La, Ce, Sm) compounds",ACTA PHYSICA SINICA,10.7498/aps.67.20181750,mp-22246
Ho2NiMnO6,4.7,7 T,71.5,table_only1505.txt,338,"Structural, magnetic and magnetocaloric properties of double perovskite Ho2MMnO6 (M = Fe, Co, and Ni)",JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2021.168666,mp-1212340
Ho3Co,14.5,0-5 T,,table_only1510.txt,343,Magnetocaloric effect and magnetic phase transition in Ho3Co,JOURNAL OF APPLIED PHYSICS,10.1063/1.3561146,mp-622565
Tb2In,6.6,,,table_only1513.txt,539,Enhanced magnetocaloric effect in the Tb2In1-xAlx (0 <= x <= 0.6) alloy by hetero-structural alloying,JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2023.170409,mp-20608
CoCr2O4,0.87,6 T,96,table_only1516.txt,35,Magnetic field dependence of magnetic coupling in CoCr2O4 nanoparticles,PHYSICA B-CONDENSED MATTER,10.1016/j.physb.2017.09.021,mp-20758
Dy2Co2Al,6.6,50 kOe,58,table_only1519.txt,53,"Magnetic ordering of Mo2NiB2-type {Gd, Tb, Dy)(2)Co2Al compounds by magnetization and neutron diffraction study",JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2017.06.090,mp-13431
Gd2Co2Al,10.4,50 kOe,78,table_only1519.txt,239,"Magnetic ordering of Mo2NiB2-type {Gd, Tb, Dy)(2)Co2Al compounds by magnetization and neutron diffraction study",JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2017.06.090,mp-637222
Tb2Co2Al,7.6,50 kOe,98,table_only1519.txt,535,"Magnetic ordering of Mo2NiB2-type {Gd, Tb, Dy)(2)Co2Al compounds by magnetization and neutron diffraction study",JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2017.06.090,mp-13432
MnCoGe,4,5 T,,table_only1525.txt,450,Magnetocaloric effect in melt-spun MnCoGe ribbons,SCRIPTA MATERIALIA,10.1016/j.scriptamat.2013.03.022,mp-20565
HoNi2,27.2,2 to 5 T,13.9,table_only1535.txt,398,Enhanced magnetocaloric effect in rapidly solidified HoNi2 melt-spun ribbons,JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2018.09.305,mp-673
Ni2MnGa,18,1 to 5 T,314,table_only_1stcheck553.txt,306,Magnetic entropy in Ni2MnGa single crystals,JOURNAL OF APPLIED PHYSICS,10.1063/1.1682784,mp-20228
GdFe2Si2,30.01,0-7 T,,table_only1553.txt,296,Magnetic properties and promising magnetocaloric performances in the antiferromagnetic GdFe2Si2 compound,SCIENCE CHINA-MATERIALS,10.1007/s40843-021-1967-5,mp-542986
